"Time","by-stack - bystackgo","by-stack - bystackjvm","by-stack - bystacknode","by-stack - carts-db","by-stack - catalogue-db","by-stack - orders-db","by-stack - rabbitmq","by-stack - rabbitmq-exporter","by-stack - session-db","by-stack - user-db"
2023-05-29 16:26:15,0,0,0,0,0,0,0,0,0,0
2023-05-29 16:26:30,0,0,0,0,0,0,0,0,0,0
2023-05-29 16:26:45,0,0,0,0,0,0,0,0,0,0
2023-05-29 16:27:00,0,0,0,0,0,0,0,0,0,0
2023-05-29 16:27:15,0,0,0,0,0,0,0,0,0,0
2023-05-29 16:27:30,0,0,0,0,0,0,0,0,0,0
2023-05-29 16:27:45,0,0,0,0,0,0,0,0,0,0
2023-05-29 16:28:00,0,0,0,0,0,0,0,0,0,0
2023-05-29 16:28:15,0,0,0,0,0,0,0,0,0,0
2023-05-29 16:28:30,0,0,0,0,0,0,0,0,0,0
2023-05-29 16:28:45,0,0,0,0,0,0,0,0,0,0
2023-05-29 16:29:00,0,0,0,0,0,0,0,0,0,0
2023-05-29 16:29:15,0,0,0,0,0,0,0,0,0,0
2023-05-29 16:29:30,0,0,0,0,0,0,0,0,0,0
2023-05-29 16:29:45,0,0,0,0,0,0,0,0,0,0
2023-05-29 16:30:00,0,0,0,0,0,0,0,0,0,0
2023-05-29 16:30:15,0,0,0,0,0,0,0,0,0,0
2023-05-29 16:30:30,0,0,0,0,0,0,0,0,0,0
2023-05-29 16:30:45,0,0,0,0,0,0,0,0,0,0
2023-05-29 16:31:00,0,0,0,0,0,0,0,0,0,0
2023-05-29 16:31:15,0,0,0,0,0,0,0,0,0,0
2023-05-29 16:31:30,0,0,1,0,0,0,0,0,0,0
2023-05-29 16:31:45,0,0,1,0,0,0,0,0,0,0
2023-05-29 16:32:00,0,0,1,0,0,0,0,0,0,0
2023-05-29 16:32:15,0,0,1,0,0,0,0,0,0,0
2023-05-29 16:32:30,0,0,1,0,0,0,0,0,0,0
2023-05-29 16:32:45,1,0,1,0,0,0,0,0,0,0
2023-05-29 16:33:00,1,0,2,0,0,0,0,0,0,0
2023-05-29 16:33:15,1,0,2,0,0,0,0,0,0,0
2023-05-29 16:33:30,1,0,2,0,0,0,0,0,0,0
2023-05-29 16:33:45,1,0,2,0,0,0,0,0,0,0
2023-05-29 16:34:00,1,0,2,0,0,0,0,0,0,0
2023-05-29 16:34:15,1,0,3,0,0,0,0,0,0,0
2023-05-29 16:34:30,1,0,3,0,0,0,0,0,0,0
2023-05-29 16:34:45,1,0,3,0,0,0,0,0,0,0
2023-05-29 16:35:00,1,0,3,0,0,0,0,0,0,0
2023-05-29 16:35:15,1,0,3,0,0,0,0,0,0,0
2023-05-29 16:35:30,1,0,3,0,0,0,0,0,0,0
2023-05-29 16:35:45,1,0,3,0,0,0,0,0,0,0
2023-05-29 16:36:00,1,0,4,0,0,0,0,0,0,0
2023-05-29 16:36:15,1,0,4,0,0,0,0,0,0,0

