"Time","all-in-one - allinone","all-in-one - carts-db","all-in-one - catalogue-db","all-in-one - orders-db","all-in-one - rabbitmq","all-in-one - rabbitmq-exporter","all-in-one - session-db","all-in-one - user-db"
2023-05-26 18:13:00,1,1,1,1,1,1,1,1
2023-05-26 18:13:15,1,1,1,1,1,1,1,1
2023-05-26 18:13:30,1,1,1,1,1,1,1,1
2023-05-26 18:13:45,1,1,1,1,1,1,1,1
2023-05-26 18:14:00,1,1,1,1,1,1,1,1
2023-05-26 18:14:15,1,1,1,1,1,1,1,1
2023-05-26 18:14:30,1,1,1,1,1,1,1,1
2023-05-26 18:14:45,1,1,1,1,1,1,1,1
2023-05-26 18:15:00,1,1,1,1,1,1,1,1
2023-05-26 18:15:15,1,1,1,1,1,1,1,1
2023-05-26 18:15:30,1,1,1,1,1,1,1,1
2023-05-26 18:15:45,1,1,1,1,1,1,1,1
2023-05-26 18:16:00,1,1,1,1,1,1,1,1
2023-05-26 18:16:15,1,1,1,1,1,1,1,1
2023-05-26 18:16:30,1,1,1,1,1,1,1,1
2023-05-26 18:16:45,1,1,1,1,1,1,1,1
2023-05-26 18:17:00,1,1,1,1,1,1,1,1
2023-05-26 18:17:15,1,1,1,1,1,1,1,1
2023-05-26 18:17:30,1,1,1,1,1,1,1,1
2023-05-26 18:17:45,1,1,1,1,1,1,1,1
2023-05-26 18:18:00,1,1,1,1,1,1,1,1
2023-05-26 18:18:15,1,1,1,1,1,1,1,1
2023-05-26 18:18:30,1,1,1,1,1,1,1,1
2023-05-26 18:18:45,1,1,1,1,1,1,1,1
2023-05-26 18:19:00,1,1,1,1,1,1,1,1
2023-05-26 18:19:15,1,1,1,1,1,1,1,1
2023-05-26 18:19:30,1,1,1,1,1,1,1,1
2023-05-26 18:19:45,1,1,1,1,1,1,1,1
2023-05-26 18:20:00,1,1,1,1,1,1,1,1
2023-05-26 18:20:15,1,1,1,1,1,1,1,1
2023-05-26 18:20:30,1,1,1,1,1,1,1,1
2023-05-26 18:20:45,1,1,1,1,1,1,1,1
2023-05-26 18:21:00,1,1,1,1,1,1,1,1
2023-05-26 18:21:15,1,1,1,1,1,1,1,1
2023-05-26 18:21:30,1,1,1,1,1,1,1,1
2023-05-26 18:21:45,1,1,1,1,1,1,1,1
2023-05-26 18:22:00,1,1,1,1,1,1,1,1
2023-05-26 18:22:15,1,1,1,1,1,1,1,1
2023-05-26 18:22:30,1,1,1,1,1,1,1,1
2023-05-26 18:22:45,0,1,1,1,1,1,1,1
2023-05-26 18:23:00,0,1,1,1,1,1,1,1

