Method,Name,Error,Occurrences
GET,/detail.html?id=a0a4f044-b040-410d-8ead-4de0446aec7e,"""ConnectionRefusedError(111, 'Connection refused')""",23
GET,/detail.html?id=d3588630-ad8e-49df-bbd7-3167f7efb246,"""ConnectionRefusedError(111, 'Connection refused')""",35
GET,/basket.html,"""ConnectionRefusedError(111, 'Connection refused')""",619
GET,/login,"""ConnectionRefusedError(111, 'Connection refused')""",1113
POST,/cart,"""ConnectionRefusedError(111, 'Connection refused')""",900
GET,/,"""ConnectionRefusedError(111, 'Connection refused')""",978
GET,/detail.html?id=510a0d7e-8e83-4193-b483-e27e09ddc34d,"""ConnectionRefusedError(111, 'Connection refused')""",36
DELETE,/cart,"""ConnectionRefusedError(111, 'Connection refused')""",2335
GET,/detail.html?id=819e1fbf-8b7e-4f6d-811f-693534916a8b,"""ConnectionRefusedError(111, 'Connection refused')""",33
DELETE,/cart,"""BadStatusCode('http://all-in-one.all-in-one/cart', code=500)""",43
POST,/orders,"""BadStatusCode('http://all-in-one.all-in-one/orders', code=500)""",60
GET,/detail.html?id=3395a43e-2d88-40de-b95f-e00e1502085b,"""ConnectionRefusedError(111, 'Connection refused')""",25
POST,/cart,"""BadStatusCode('http://all-in-one.all-in-one/cart', code=500)""",87
GET,/category.html,"""ConnectionRefusedError(111, 'Connection refused')""",711
GET,/detail.html?id=03fef6ac-1896-4ce8-bd69-b798f85c6e0b,"""ConnectionRefusedError(111, 'Connection refused')""",36
POST,/orders,"""ConnectionRefusedError(111, 'Connection refused')""",2248
GET,/detail.html?id=837ab141-399e-4c1f-9abc-bace40296bac,"""ConnectionRefusedError(111, 'Connection refused')""",32
GET,/detail.html?id=808a2de1-1aaa-4c25-a9b9-6612e8f29a38,"""ConnectionRefusedError(111, 'Connection refused')""",36
POST,/orders,"""RetriesExceeded('http://all-in-one.all-in-one/orders', 1, original=timed out)""",14099
GET,/detail.html?id=zzz4f044-b040-410d-8ead-4de0446aec7e,"""ConnectionRefusedError(111, 'Connection refused')""",45
