"Time","by-stack - bystackgo","by-stack - bystackjvm","by-stack - bystacknode","by-stack - carts-db","by-stack - catalogue-db","by-stack - orders-db","by-stack - rabbitmq","by-stack - rabbitmq-exporter","by-stack - session-db","by-stack - user-db"
2023-05-28 20:33:45,0,0,0,0,0,0,0,0,0,0
2023-05-28 20:34:00,0,0,0,0,0,0,0,0,0,0
2023-05-28 20:34:15,0,0,0,0,0,0,0,0,0,0
2023-05-28 20:34:30,0,0,0,0,0,0,0,0,0,0
2023-05-28 20:34:45,0,0,0,0,0,0,0,0,0,0
2023-05-28 20:35:00,0,0,0,0,0,0,0,0,0,0
2023-05-28 20:35:15,0,0,0,0,0,0,0,0,0,0
2023-05-28 20:35:30,0,0,0,0,0,0,0,0,0,0
2023-05-28 20:35:45,0,0,0,0,0,0,0,0,0,0
2023-05-28 20:36:00,0,0,0,0,0,0,0,0,0,0
2023-05-28 20:36:15,0,0,0,0,0,0,0,0,0,0
2023-05-28 20:36:30,0,0,0,0,0,0,0,0,0,0
2023-05-28 20:36:45,0,0,0,0,0,0,0,0,0,0
2023-05-28 20:37:00,0,0,0,0,0,0,0,0,0,0
2023-05-28 20:37:15,0,0,0,0,0,0,0,0,0,0
2023-05-28 20:37:30,0,0,0,0,0,0,0,0,0,0
2023-05-28 20:37:45,0,0,0,0,0,0,0,0,0,0
2023-05-28 20:38:00,0,0,0,0,0,0,0,0,0,0
2023-05-28 20:38:15,0,0,0,0,0,0,0,0,0,0
2023-05-28 20:38:30,0,0,0,0,0,0,0,0,0,0
2023-05-28 20:38:45,0,0,0,0,0,0,0,0,0,0
2023-05-28 20:39:00,0,0,1,0,0,0,0,0,0,0
2023-05-28 20:39:15,0,0,1,0,0,0,0,0,0,0
2023-05-28 20:39:30,0,0,1,0,0,0,0,0,0,0
2023-05-28 20:39:45,0,0,1,0,0,0,0,0,0,0
2023-05-28 20:40:00,0,0,1,0,0,0,0,0,0,0
2023-05-28 20:40:15,0,0,1,0,0,0,0,0,0,0
2023-05-28 20:40:30,0,0,1,0,0,0,0,0,0,0
2023-05-28 20:40:45,0,0,1,0,0,0,0,0,0,0
2023-05-28 20:41:00,0,0,1,0,0,0,0,0,0,0
2023-05-28 20:41:15,0,0,1,0,0,0,0,0,0,0
2023-05-28 20:41:30,0,0,1,0,0,0,0,0,0,0
2023-05-28 20:41:45,0,0,1,0,0,0,0,0,0,0
2023-05-28 20:42:00,0,0,1,0,0,0,0,0,0,0
2023-05-28 20:42:15,0,0,1,0,0,0,0,0,0,0
2023-05-28 20:42:30,0,0,1,0,0,0,0,0,0,0
2023-05-28 20:42:45,0,0,2,0,0,0,0,0,0,0
2023-05-28 20:43:00,0,0,2,0,0,0,0,0,0,0
2023-05-28 20:43:15,0,0,2,0,0,0,0,0,0,0
2023-05-28 20:43:30,0,0,2,0,0,0,0,0,0,0
2023-05-28 20:43:45,0,0,2,0,0,0,0,0,0,0

